Name,DOB,Address,Phonenumber,Email,Handle,Team,Link
Bjarni Bit,19/01/2003,Datalabvegur 1 Reykjavik,3546110022,bjarni.bit@example.com,BitTwiddlerBjarni,Datalab Dominators,https://twitch.tv/BitTwiddlerBjarni
Tora TwoComp,10/10/2004,Datalabvegur 2 Reykjavik,3546110023,tora.twocomp@example.com,TwoCompWizardTora,Datalab Dominators,https://github.com/TwoCompWizardTora
Mia Mask,12/12/2005,Datalabvegur 3 Reykjavik,3546110024,mia.mask@example.com,MaskAndShiftMia,Datalab Dominators,https://twitter.com/MaskAndShiftMia
Dori Defusal,02/02/2003,Bomblabstigur 1 Reykjavik,3546110025,dori.defusal@example.com,BombDefusalDori,Bomblab Bombers,https://twitch.tv/BombDefusalDori
Eydis Phase,15/05/2004,Bomblabstigur 2 Reykjavik,3546110026,eydis.phase@example.com,Phase4EnjoyerEydis,Bomblab Bombers,https://github.com/Phase4EnjoyerEydis
Gunnar Gdb,18/08/2005,Bomblabstigur 3 Reykjavik,3546110027,gunnar.gdb@example.com,GdbNinjaGunnar,Bomblab Bombers,https://twitter.com/GdbNinjaGunnar
Kalli CopyPaste,30/03/2003,Overflowhagi 1 Reykjavik,3546110028,kalli.copy@example.com,CopyPasteKalli,StackOverflow Stackers,https://twitch.tv/CopyPasteKalli
Reykur Recursion,01/09/2004,Overflowhagi 2 Reykjavik,3546110029,reykur.recursion@example.com,RecursionReykur,StackOverflow Stackers,https://github.com/RecursionReykur
Tanja Tabs,11/11/2005,Overflowhagi 3 Reykjavik,3546110030,tanja.tabs@example.com,TooManyTabsTanja,StackOverflow Stackers,https://twitter.com/TooManyTabsTanja
Lara L1,06/06/2003,Cachegata 1 Reykjavik,3546110031,lara.l1@example.com,L1CacheLara,CacheHit Crusaders,https://twitch.tv/L1CacheLara
Toti TLB,20/02/2004,Cachegata 2 Reykjavik,3546110032,toti.tlb@example.com,TLBmissToti,CacheHit Crusaders,https://github.com/TLBmissToti
Palli Prefetch,25/05/2005,Cachegata 3 Reykjavik,3546110033,palli.prefetch@example.com,PrefetchPalli,CacheHit Crusaders,https://twitter.com/PrefetchPalli
Wendy While,01/01/2003,Lykkjugata 1 Reykjavik,3546110034,wendy.while@example.com,WhileTrueWendy,WhileTrue Tryhards,https://twitch.tv/WhileTrueWendy
Bensi Break,13/03/2004,Lykkjugata 2 Reykjavik,3546110035,bensi.break@example.com,BreakConditionBensi,WhileTrue Tryhards,https://github.com/BreakConditionBensi
Ida IndexError,27/07/2005,Lykkjugata 3 Reykjavik,3546110036,ida.index@example.com,IndexErrorIda,WhileTrue Tryhards,https://twitter.com/IndexErrorIda
Stebbi Segfoul,15/09/2003,Signalbraut 1 Reykjavik,3546110037,stebbi.segfoul@example.com,SegmentationFoulStebbi,Segmentation Foul,https://twitch.tv/SegmentationFoulStebbi
Oli OutOfBounds,21/12/2004,Signalbraut 2 Reykjavik,3546110038,oli.outofbounds@example.com,OutOfBoundsOli,Segmentation Foul,https://github.com/OutOfBoundsOli
Brynja Bus,05/10/2005,Signalbraut 3 Reykjavik,3546110039,brynja.bus@example.com,BusErrorBrynja,Segmentation Foul,https://twitter.com/BusErrorBrynja
Ragnhildur Race,04/04/2003,Threadgata 1 Reykjavik,3546110040,ragnhildur.race@example.com,RaceConditionRagnhildur,RaceCondition Racers,https://twitch.tv/RaceConditionRagnhildur
Max Mutex,26/06/2004,Threadgata 2 Reykjavik,3546110041,max.mutex@example.com,MutexMax,RaceCondition Racers,https://github.com/MutexMax
Danni Deadlock,09/09/2005,Threadgata 3 Reykjavik,3546110042,danni.deadlock@example.com,DeadlockDanni,RaceCondition Racers,https://twitter.com/DeadlockDanni
Ulfar UB,14/02/2003,UBgata 1 Reykjavik,3546110043,ulfar.ub@example.com,UBUnitedUlfar,Undefined Behavior United,https://twitch.tv/UBUnitedUlfar
Sara StrictAlias,19/05/2004,UBgata 2 Reykjavik,3546110044,sara.strictalias@example.com,StrictAliasSara,Undefined Behavior United,https://github.com/StrictAliasSara
Vala Volatile,28/08/2005,UBgata 3 Reykjavik,3546110045,vala.volatile@example.com,VolatileVala,Undefined Behavior United,https://twitter.com/VolatileVala
Petra PepsiOverflow,07/07/2003,Fizzgata 1 Reykjavik,3546110046,petra.pepsioverflow@example.com,PepsiMaxOverflowPetra,Pepsi Max Overflow,https://twitch.tv/PepsiMaxOverflowPetra
Bogi Buffer,25/01/2004,Fizzgata 2 Reykjavik,3546110047,bogi.buffer@example.com,BufferOverflowBogi,Pepsi Max Overflow,https://github.com/BufferOverflowBogi
Sif Canary,29/03/2005,Fizzgata 3 Reykjavik,3546110048,sif.canary@example.com,StackCanarySif,Pepsi Max Overflow,https://twitter.com/StackCanarySif
